abelujo,蜂房
aboni,预订
abrupta,急转,突然,骤然的
absceso,脓肿
absolvi,赦免,赦罪,宣告无罪
acida,尖酸刻薄,酸
administracio,管理处
administrejo,管理处
admiralo,海军上将
adopti,抱养,采用,过继,领养,收养
adulti,通奸
aeroplano,飞机
aerumi,通风
afekti,假装,装模作样,装腔作势,装作
afido,蚜虫
agentejo,代理处
agmaniero,举止
agonianta,垂死
agonii,垂危,弥留
agordi,调音
agrikulturo,农业
agro,耕地,农田
ajlo,大蒜
akacio,相思树
akademiano,院士
akademio,学院
akapari,损人利己,囤积居奇
akceptejo,接待室,招待所
akcesora,次要
akcio,股票
akcipitro,鹰
aklami,喝彩,欢呼
akordigi,调和
akordo,融洽
akrobato,杂技演员
akselo,夹肢窝,腋下,掖窝
akso,中枢,轴
aktivado,活动
akumuli,积聚,积累,积蓄,聚积,累积
akurata,准时
akuta,急性,尖锐
akuzanto,原告
akvedukto,渡槽
akvolilio,睡莲
akvovojo,水道
akvujo,水缸,蓄水池
akvumi,灌溉,浇,浇水
alabastro,雪花石膏
albumo,画册
aldona,附加,另加
algo,水藻
alianci,结盟,联合
alianco,联盟,同盟
alilanda,外国
alineo,缩进
alkalkuli,算入,算上
almozpeti,行乞,要饭
alsendi,补寄
altano,平台
altforno,高炉
altnivela,高超,高级
altstatura,魁伟
altvalora,无价之宝
amatoro,爱好者,业余爱好者
ambasado,使馆,使节团,外交使团
ambiciulo,野心家
ambulanco,救护车
amelo,淀粉
amoro,性爱,性欲
analogio,类推
ananaso,菠萝
anarkiisto,无政府主义者
anekdoto,轶事
animalo,动物
animstato,情绪
ankri,停泊
ankro,锚
anonima,匿名
anso,把手,柄,拉手,门把手
antagonismo,敌对,对抗
antikveco,古代
antikvulo,古人
antilopo,羚羊
antipatio,反感
antologio,文学作品选,选本
apatia,冷淡,冷漠,无动于衷
apelacii,呼吁,上诉,申诉
aplikebla,适用
aplomba,冷静,镇静的
aplombe,沉着
aplombo,镇定
apopleksio,中风
apostrofo,省略号
apoteko,药房
apreci,鉴赏,欣赏
aprezi,鉴赏,赏识
apro,野猪
arbedo,灌木
arbitra,任性,专横
arbitre,悍然,蛮横,武断
arbokrono,树冠
arbostumpo,树墩
areo,面积
argumentado,辩论
ariero,殿军
aristokrato,贵族
aritmetiko,算术
arkaika,陈腐
arkitekto,建筑师
arkitekturo,建筑学
armeestro,军长
armilaro,军备
artifiko,把戏,诡计,花招,机谋,手段,手法
artilerio,炮队
asekuri,保险
asigni,指定,指派
asimili,同化,吸取,吸收,消化
asistanto,副手,助理,助手
asisti,协助
asocio,社会团体,社团,协会,学会
aspiro,志气,志愿
astronomio,天文学
astronomo,天文学家
ateisto,无神论者
atenci,触犯,谋害,侵犯,伤害
atendejo,候车室,候诊室
atendita,预期
atentema,细心
atentemo,小心
atingo,成果,成绩,成就
Atlantiko,大西洋
atlaso,缎子
atleto,力士,田径运动员
atombombo,原子弹
atomo,原子
atributo,属性
avanci,升级
avangardo,尖兵,前锋,前卫,先锋队
avarulo,财迷,守财奴
aveno,燕麦
aventuristo,冒险家
avenuo,林荫道,马路
azilo,避难所,收容所
bakforno,烤炉
balancilo,秋千
balasto,包袱,累赘
baleno,鲸
baleto,芭蕾舞,舞剧
balzamo,香脂
banano,香蕉
banejo,浴池,浴室,澡房,澡堂
bankbileto,钞票,票子,纸币
bankroti,倒闭,破产
bankuvo,浴盆,澡盆
barako,兵营,工棚,营房
barbiro,理发师
bariero,栅栏
basko,下摆
bastardo,私生子
bastiono,堡垒
batalejo,沙场
batalema,好战
batalilo,武器
batato,白薯,地瓜,番薯,红薯
batilo,拍子
belsona,好听,悦耳
bendo,带子,轮胎
benzino,汽油
beto,糖萝卜,甜菜
betono,混凝土
biciklo,脚踏车,自行车
bifsteko,牛排
biliono,兆
binoklo,望远镜
biskvito,饼干
bivaki,露营
blankigi,漂白
blato,蟑螂
blazono,纹章
blindiga,夺目,耀眼
bloki,阻塞
boatisto,船夫
bofilo,女婿
bofratino,嫂嫂
boligi,烧开
bombardi,轰炸,开炮,炮击
bombo,炸弹
bonedukita,有教养
bonfari,行善
bonhava,富裕,小康,有钱
bonigi,改善
bonkonduta,正派的
bonkorulo,好人
bonorda,整齐
bonorde,井井有条
bonvola,善意
boparenco,亲家
bordelo,妓院
borderi,镶边
bori,穿孔,打眼,钻
borso,交易所
botaniko,植物学
braceleto,脚镯,手镯
brankardo,担架
brano,麸皮,糠
bredi,饲养
bremsi,刹车,止住,制止
brileco,亮度
brilianto,钻石
briligi,照耀
brodi,刺绣,绣花
