abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
abandonment,[ә'bændәnmәnt],n.放弃
abash,[ә'bæ∫],vt.使局促不安，使困窘
abject,['æbdӡekt],adj.卑鄙的，可怜的
absently,['æbs(ә)ntli],adv.心不在焉地，茫然地
absolve,[әb'zolv],v.宣布免除
abstain,[әb'stein],v.禁绝，放弃
accelerate,[æk'selәreit],v.加速，促进
accession,[æk'se∫әn],n.就职，就任，添加，增加
accidentally,[],adv.偶然地，意外地
acclaim,[ә'kleim],n.喝彩，欢呼v.欢呼，称赞
acknowledgment,[әk'nolidӡmәnt],n.承认，承认书，感谢
acquiesce,[˛ækwi'es],vi.默许，勉强同意
acquisition,[˛ækwi'zi∫әn],n.获得，获得物
acreage,['eikәridӡ],n.英亩数，面积
adequately,[],adv.充分地
adherent,[әd'hiәrәnt],n.信徒，追随者，拥护者
administrator,[әd'ministreitә],n.管理人，行政官
admirably,[],adv.极好地，美好地
adoration,[˛ædo:'rei∫әn],n.崇拜，爱慕，受崇拜(或爱慕)的对象
advantageous,[˛ædvәn'teidӡәs],adj.有利的
advisable,[әd'vaizәbl],adj.可取的，明智的
affected,[ә'fektid],adj.受到影响的，受(疾病)侵袭的，假装的，做作的
affectionately,[ә`fek∫әnәth],adv.挚爱地，亲切地
affinity,[ә'finiti],n.密切关系，吸引力，姻亲关系，亲合力
affliction,[ә'flik∫әn],n.痛苦，苦恼
affront,[ә'frΛnt],n.公开侮辱，轻蔑,vt.公开侮辱，冒犯，面对
aft,[α:ft],adv.在船尾
aghast,[ә'gα:st],adj.惊骇的，吓呆的
agile,['ædӡail],adj.敏捷的，轻快的，灵活的
agitator,['ædӡiteitә],n.煽动者
aha,[ә'hα:],int.啊哈
akin,[ә'kin],adj.同族的，类似的
albeit,[o:l'bi:it],conj.虽然
alfalfa,[æl'fælfә],n.[植]紫花苜蓿
alkali,['ælkәlai],n.[化]碱,adj.碱性的
alloy,['æloi],n.合金,vt.使成合金，减低成色
allure,[ә'ljuә],v.吸引
allurement,[ә'ljuәmәnt],n.诱惑物，魅力
alumni,[],n.男毕业生，男校友
amazingly,[],adv.可惊地，令人惊讶地
amen,['α:'men; 'ei'men],int.阿门(基督教祈祷或圣歌的结束语)
amends,[ә'mendz],n.(对毁坏，损坏的)赔偿，赔礼
analogy,[ә'nælәdӡi],n.类似，类推
anarchy,['ænәki],n.无政府状态，政治混乱
anchorage,['æŋkәridӡ],n.停泊地点，抛锚地点
angelic,[æn'dӡelik],adj.天使的，似天使的
Anglo-Saxon,['æŋglәu'sæksәn],n.盎格鲁撒克逊人,adj.盎格鲁撒克逊人的
animate,['ænimeit],v.鼓舞,adj.生气勃勃的
animated,['ænimeitid],adj.活生生的，活泼的，动的，愉快的
animosity,[˛æni'mositi],n.仇恨，憎恶
annoying,[ә'noiiŋ],adj.恼人的，讨厌的
anonymous,[ә'nonimәs],adj.匿名的
antarctic,[ænt'α:ktik],adj.南极的，南极地带的
antenna,[æn'tenә],n.天线
anthem,['ænθәm],n.圣歌，赞美诗
anther,['ænθә],n.花粉囊
apace,[ә'peis],adv.快速地，急速地
apathy,['æpәθi],n.缺乏感情或兴趣，冷漠
apparition,[˛æpә'ri∫әn],n.离奇出现的东西，(尤指)鬼怪，幽灵，幻影
applicable,['æplikәbl],adj.可适用的，可应用的
applied,[ә'plaid],adj.应用的，实用的
appraise,[ә'preiz],v.评价
appreciable,[ә'pri:∫iәbl],adj.可感知的，可评估的
appreciative,[ә'pri:∫jәtiv],a欣赏的，有欣赏力的，表示感激的，承认有价值的
apprehensive,[˛æpri'hensiv],adj.有理解力的
apprenticeship,[ә'prentis˛∫ip],n.学徒的身份，学徒的年限
arbitration,[˛α:bi'trei∫әn],n.仲裁，公断
arched,[α:t∫t],adj.弓形的，有拱的
arid,['ærid],adj.干旱的，贫瘠的(土地等)，无趣的，沉闷的
armada,[α:'mα:dә],n.舰队
armory,['α:mәri],n.纹章，纹章学，兵工厂，军械库
aromatic,[˛ærәu'mætik],adj.芬芳的
arrant,['ærәnt],adj.彻头彻尾的，声名狼藉的，极恶的
arrogance,[`ærәgәns],n.傲慢态度，自大
arrogant,['ærәgәnt],adj.傲慢的，自大的
arsenal,['α:sinl],n.兵工厂，军械库
arsenic,['α:sәnik],n.[化]砷，砒霜
articulate,[α:'tikjulit],adj.有关节的，发音清晰的,vt.用关节连接，接合，清晰明白地说
artificially,[],adv.人工
assassin,[ә'sæsin],n.暗杀者，刺客
