porti,携带
faldi,折叠
6chefa,主要的
abako,算盘
abdiki,辞职,退位
abdomeno,肚子,腹部
abelejo,养蜂场
abelo,蜜蜂
abelreghina gelato,蜂王浆
abelujo,蜂房
abelvakso,蜂蜡
abio,枞树,冷杉,杉木
abismo,深渊
abismo de sufero,灾难深重
abituriento,应届高中毕业生,中学毕业生
ablacio,切除
abnegacio,克已
aboco,基本知识,入门
aboli,废除
abomena,可憎,讨厌
abomeni,嫌恶,厌恶,憎恶
abomeninda,可恶,可憎,讨厌
abonanto,订户
aboni,预订
abonilo,订单
abonpago,订费
aborti,流产,失败,小产
abortiga operacio,人工流产
abortigi,堕胎
abortulo,流产儿
abrikoto,杏
abrupta,急转,突然,骤然的
absceso,脓肿
absoluta,绝对,至高无上
absoluta monarkio,君主专制
absoluta vero,绝对真理
absolutismo,专制主义
absolvi,赦免,赦罪,宣告无罪
absorbite,专心
abstini,禁忌
abstrakta,抽象
absurda,荒谬,荒唐
absurda argumento,奇谈
absurda teorio,谬论
abunda,丰富,富饶,富裕
abunde produkti,盛产
achetanto,买主
acheti,采购,购买,买,收购
acheti je kredito,赊购
achetpovo,购买力
acida,尖酸刻薄,酸
adapti,改编
adaptighi,适合,适应
adepto,信徒
adiawi,告别
adicio,加法
adiministri,治理
adjektivo,形容词
adjunkto,副手,助理,助手
adjutanto,副官
administracio,管理处
administrejo,管理处
administri,调度,管理,经营,行政管理,掌管
administri shtaton,治国
admiralo,海军上将
admiri,爱慕,惊叹,景仰,倾倒,倾慕,羡慕,欣赏,赞赏,赞叹
admoni,叮嘱,告诫,劝告,说服,相劝,嘱咐
admono,规劝
adobo,土坯
adoleskanteco,青春期
adopti,抱养,采用,过继,领养,收养
adori,爱慕,拜倒,崇拜,倾慕
adorklinighi,磕头
adresanto,寄件人
adresato,收件人
adreso,地址,住址
adresulo,收件人
adtesanto,寄信人
adulti,通奸
adverbo,副词
advokato,律师
adzo,锛子
aer-aera misilo,空对空导弹
aer-tera misilo,空对地导弹
aera (atmosfera) polucio,大气污染
aera batalo,空战
aera defendo,防空
aera kastelo,空中楼阁
aera kunpremilo,空气压缩机
aera transportado,空运
aerarmeo,空军
aeratako,空袭
aerblovilo,鼓风机
aerfaligi,空投
aerlinio,航线
aero,空气
aerodromo,飞机场,机场
aerolito,陨石
aeroplano,飞机
aerotrajno,气垫列车
aerpiocho,风镐
aerponto,空中桥梁
aerpremo,气压
aerpumpilo,气泵
aershakto,通风井
aershipo,飞船
aershtono,陨石
aerteritorio,领空
aertruo,通气孔
aerumi,通风
afabla,和蔼,和气,客气,柔和,殷勤
afableco,慈爱,心意
afekcio,激动
afekti,假装,装模作样,装腔作势,装作
afero,事情,事务,事业
afersharghito,代办
afido,蚜虫
afikso,词缀
afinacii,炼钢
afisho,广告,海报,招贴
afliktighi,烦恼
aflikto,苦恼
aforismo,警句
afranki,贴邮票
Afriko,非洲
agato,玛瑙
agentejo,代理处
agento,代理人
agho,年纪,年龄,岁
agi,行动
agi kontraw,对付
agi senhonte,耍无赖
agiti,鼓动,扇动,振荡
agitvorto,口号
aglo,老鹰,鹰
aglomeri,成团,结块,凝结
agmaniero,举止
agnoski,承认,正式认可
ago,举动,事迹,行为,作为
agonianta,垂死
agonii,垂危,弥留
agordi,调音
agrabla,令人舒适,愉快
agrara reformo,土地改革
agresi,侵略
agrikultura imposto,农业税
agrikultura kooperigo,农业合作化
agrikultura mashino,农机
agrikultura produktajho,农产品
agrikulturaj plantoj,农作物,庄稼
agrikulturilo,农具
agrikulturo,农业
agro,耕地,农田
agrokulturi,种地
agronomio,农艺学
agronomo,农学家,农艺师
ajho,东西
ajhura,镂空
ajlo,大蒜
ajn,任何
akacio,相思树
akademia raporto,学术报告
akademiano,院士
akademio,学院
akademio de sciencoj,科学院
akadermia rango,学位
akapari,损人利己,囤积居奇
akceli,促进,加快,增进
akcelilo,加速器
akcenti,强调
akcento,重音
akceptejo,接待室,招待所
akcepti,采纳,接待,按受,吸收,迎接,招待
akcesora,次要
akcesorajho,附件
akcidenca,偶然
akcidenco,偶性
akcidento,偶性,失事,事故,意外事故
akcio,股票
akcipitro,鹰
akiri,博得,得到,获得,取得,赢得
akiri favoron per shvelparolo,哗众取宠
aklami,喝彩,欢呼
aklediti,任命
akno,粉刺
akomodighi,适合,适应
akompani,伴奏,陪伴,做伴
akompani eskorte,护送
akordigi,调和
akordiono,手风琴
akordo,融洽
akra,锋利,激烈,尖利,尖锐,敏锐,强烈,锐利,辛辣
akra armilo,利器
akrido,蝗虫
akrigi,加剧
akrigshtono,磨刀石
akrobata trupo,杂技团
akrobatajho,把戏,杂技
akrobato,杂技演员
akromatopsia,色盲
akselo,夹肢窝,腋下,掖窝
akso,中枢,轴
aktiva,活跃,积极
aktivado,活动
aktiveco,能动性
aktivecoj,活动
akto,公文,一幕
aktoro,演员
aktuala,现实
aktuala efiko,实效
aktuala prezo,实价
aktuala signifo,现实意义
akumulatoro,蓄电池
akumuli,积聚,积累,积蓄,聚积,累积
akupunktura anestezo,针刺麻醉
akupunktura punkto,穴位
akupunkturo,针灸
akurata,准时
akurate,按期,按时,及时
akushi,分娩
akushigi,接生
akushintino,产妇
akushistino,助产士
akustiko,声学,音响
akuta,急性,尖锐
akuta abdomena malsano,急腹症
akuta apendicito,急性阑尾炎
akuta infekto,急性传染
akuta malsano,急性病
akuzanto,原告
akuzi,控告
akuzito,被告
akva kvalito,水质
akva vojo,水路
akvaj animaloj,水族
akvarelo,水彩画
akvario,水族馆
